"State"	"E"	"e^(-E/RT)"	"p"	"p*Log(p)"
"(1, 1)"	"-5"	"7.422674044658944"	"0.09900260169200192"	"-0.22895432249481829"
"(1, 2)"	"-1"	"1.4931797031726477"	"0.019915824744339252"	"-0.07799516244171611"
"(1, 3)"	"-2"	"2.229585625966756"	"0.02973790528019095"	"-0.10453863308702062"
"(2, 1)"	"-1"	"1.4931797031726477"	"0.019915824744339252"	"-0.07799516244171611"
"(2, 2)"	"-7"	"16.549487356208104"	"0.22073477766579955"	"-0.3334846450762381"
"(2, 3)"	"-3"	"3.3291720031790426"	"0.044404036579251835"	"-0.1382930371709111"
"(3, 1)"	"-2"	"2.229585625966756"	"0.02973790528019095"	"-0.10453863308702062"
"(3, 2)"	"-3"	"3.3291720031790426"	"0.044404036579251835"	"-0.1382930371709111"
"(3, 3)"	"-9"	"36.898499126520164"	"0.4921470874346344"	"-0.34892128499607766"
""	""	"Z: 74.9745351920241"	""	"S: 1.5530139179664297"
